
**********************************
----------------------------------
             Secuencial           
----------------------------------
**********************************
----------------------------------
         img1 720p                
----------------------------------
Kernel		Time
3 	0.120
5 	0.106
7 	0.090
9 	0.097
11 	0.097
13 	0.079
15 	0.107
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Time
3 	0.088
5 	0.060
7 	0.064
9 	0.092
11 	0.068
13 	0.096
15 	0.107
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Time
3 	0.099
5 	0.096
7 	0.079
9 	0.108
11 	0.092
13 	0.081
15 	0.072

**********************************
----------------------------------
          Paralelizado            
----------------------------------
**********************************
----------------------------------
          img1 720p               
----------------------------------
Kernel		Blocks		Threads		Time
9 			1 		128 		1.155
9 			1 		256 		0.708
9 			1 		384 		0.623
9 			1 		512 		0.517
9 			1 		640 		0.503
9 			1 		768 		0.483
9 			1 		896 		0.473
9 			1 		1024 		0.478
9 			2 		128 		0.674
9 			2 		256 		0.531
9 			2 		384 		0.494
9 			2 		512 		0.485
9 			2 		640 		0.530
9 			2 		768 		0.474
9 			2 		896 		0.493
9 			2 		1024 		0.421
9 			3 		128 		0.551
9 			3 		256 		0.486
9 			3 		384 		0.508
9 			3 		512 		0.436
9 			3 		640 		0.463
9 			3 		768 		0.484
9 			3 		896 		0.452
9 			3 		1024 		0.432
9 			4 		128 		0.496
9 			4 		256 		0.474
9 			4 		384 		0.503
9 			4 		512 		0.482
9 			4 		640 		0.503
9 			4 		768 		0.425
9 			4 		896 		0.490
9 			4 		1024 		0.474
11 			1 		128 		1.564
11 			1 		256 		0.918
11 			1 		384 		0.732
11 			1 		512 		0.637
11 			1 		640 		0.579
11 			1 		768 		0.553
11 			1 		896 		0.489
11 			1 		1024 		0.547
11 			2 		128 		0.964
11 			2 		256 		0.628
11 			2 		384 		0.563
11 			2 		512 		0.481
11 			2 		640 		0.571
11 			2 		768 		0.551
11 			2 		896 		0.565
11 			2 		1024 		0.544
11 			3 		128 		0.728
11 			3 		256 		0.579
11 			3 		384 		0.588
11 			3 		512 		0.578
11 			3 		640 		0.600
11 			3 		768 		0.553
11 			3 		896 		0.555
11 			3 		1024 		0.547
11 			4 		128 		0.585
11 			4 		256 		0.578
11 			4 		384 		0.594
11 			4 		512 		0.537
11 			4 		640 		0.584
11 			4 		768 		0.555
11 			4 		896 		0.543
11 			4 		1024 		0.512
13 			1 		128 		1.981
13 			1 		256 		1.155
